archive,date,camera,task,footage,timestamps
Multinet,16-05-26,C4696,,GX012390.MP4,
Multinet,16-05-26,C4696,,GX012391.MP4,
Multinet,16-05-26,C4696,,GX012392.MP4,
Multinet,16-05-26,C4696,,GX022392.MP4,
Multinet,16-05-26,C5006,,GX011391.MP4,
Multinet,16-05-26,C5006,,GX021391.MP4,
Multinet,16-05-26,C5006,,GX031391.MP4,
Multinet,16-05-26,C5006,,GX041391.MP4,
Multinet,16-05-26,C5223,,GX014872.MP4,
Multinet,16-05-26,C5223,,GX014873.MP4,
Multinet,16-05-26,C5223,,GX014874.MP4,
Multinet,16-05-26,C5223,,GX024872.MP4,
Multinet,16-05-26,C6180,,GX010321.MP4,
Multinet,16-05-26,C6180,,GX020321.MP4,
Multinet,16-05-26,C6180,,GX030321.MP4,
Multinet,16-05-26,C8278,,GX012209.MP4,
Multinet,16-05-26,C8278,,GX012210.MP4,
Multinet,16-05-26,C8278,,GX012211.MP4,
Multinet,16-05-26,C8278,,GX012212.MP4,
Multinet,16-05-26,C8278,,GX022209.MP4,
Multinet,16-05-26,C8278,,GX022212.MP4,
