archive,date,camera,task,footage,timestamps
Standard Engineering,27-04-26,C2920,task-ring-drilling,GX014867.MP4,
Standard Engineering,27-04-26,C4031,task-metal-grinding,GX014300.MP4,
Standard Engineering,27-04-26,C4031,task-metal-grinding,GX014301.MP4,
Standard Engineering,27-04-26,C4031,task-metal-grinding,GX024300.MP4,
Standard Engineering,27-04-26,C4031,task-metal-grinding,GX024301.MP4,
Standard Engineering,27-04-26,C4031,task-metal-grinding,GX034300.MP4,
Standard Engineering,27-04-26,C4031,task-metal-grinding,GX034301.MP4,
Standard Engineering,27-04-26,C4031,task-metal-grinding,GX044300.MP4,
Standard Engineering,27-04-26,C4031,task-metal-grinding,GX044301.MP4,
Standard Engineering,27-04-26,C4031,task-metal-grinding,GX054300.MP4,
Standard Engineering,27-04-26,C4031,task-metal-grinding,GX054301.MP4,
Standard Engineering,27-04-26,C4031,task-metal-grinding,GX064300.MP4,
Standard Engineering,27-04-26,C4031,task-metal-grinding,GX064301.MP4,
Standard Engineering,27-04-26,C4031,task-metal-grinding,GX074300.MP4,
Standard Engineering,27-04-26,C4696,task-qa-inspection,GX012397.MP4,
Standard Engineering,27-04-26,C4961,task-cnc-machine-operation,GX014843.MP4,
Standard Engineering,27-04-26,C4961,task-cnc-machine-operation,GX024843.MP4,
Standard Engineering,27-04-26,C4961,task-cnc-machine-operation,GX034843.MP4,
Standard Engineering,27-04-26,C4961,task-cnc-machine-operation,GX044843.MP4,
Standard Engineering,27-04-26,C4961,task-milling-machine-operation,GX014844.MP4,
Standard Engineering,27-04-26,C4961,task-milling-machine-operation,GX014845.MP4,
Standard Engineering,27-04-26,C4961,task-milling-machine-operation,GX024844.MP4,
Standard Engineering,27-04-26,C4961,task-milling-machine-operation,GX024845.MP4,
Standard Engineering,27-04-26,C4961,task-milling-machine-operation,GX034844.MP4,
Standard Engineering,27-04-26,C4961,task-milling-machine-operation,GX034845.MP4,
Standard Engineering,27-04-26,C4961,task-milling-machine-operation,GX044844.MP4,
Standard Engineering,27-04-26,C4961,task-milling-machine-operation,GX044845.MP4,
Standard Engineering,27-04-26,C4961,task-milling-machine-operation,GX054844.MP4,
Standard Engineering,27-04-26,C4961,task-milling-machine-operation,GX054845.MP4,
Standard Engineering,27-04-26,C4961,task-milling-machine-operation,GX064844.MP4,
Standard Engineering,27-04-26,C4961,task-milling-machine-operation,GX064845.MP4,
Standard Engineering,27-04-26,C4961,task-milling-machine-operation,GX074844.MP4,
Standard Engineering,27-04-26,C5006,task-drilling,GX011404.MP4,
Standard Engineering,27-04-26,C5006,task-drilling,GX021404.MP4,
Standard Engineering,27-04-26,C5006,task-drilling,GX031404.MP4,
Standard Engineering,27-04-26,C5006,task-drilling,GX041404.MP4,
Standard Engineering,27-04-26,C5006,task-drilling,GX051404.MP4,
Standard Engineering,27-04-26,C5006,task-drilling,GX061404.MP4,
Standard Engineering,27-04-26,C5223,task-drilling,GX014889.MP4,
Standard Engineering,27-04-26,C5223,task-leak-testing,GX014887.MP4,
Standard Engineering,27-04-26,C5223,task-leak-testing,GX024887.MP4,
Standard Engineering,27-04-26,C5223,task-metal-grinding,GX014888.MP4,
Standard Engineering,27-04-26,C5223,task-metal-grinding,GX014890.MP4,
Standard Engineering,27-04-26,C5223,task-metal-grinding,GX024888.MP4,
Standard Engineering,27-04-26,C5223,task-metal-grinding,GX024890.MP4,
Standard Engineering,27-04-26,C5223,task-metal-grinding,GX034888.MP4,
Standard Engineering,27-04-26,C5223,task-metal-grinding,GX034890.MP4,
Standard Engineering,27-04-26,C5223,task-metal-grinding,GX044888.MP4,
Standard Engineering,27-04-26,C5223,task-metal-grinding,GX044890.MP4,
Standard Engineering,27-04-26,C5223,task-metal-grinding,GX054888.MP4,
Standard Engineering,27-04-26,C5223,task-metal-grinding,GX064888.MP4,
Standard Engineering,27-04-26,C5223,task-product-packing,GX014886.MP4,
Standard Engineering,27-04-26,C5223,task-product-packing,GX024886.MP4,
Standard Engineering,27-04-26,C6279,task-product-packing,GX014893.MP4,
Standard Engineering,27-04-26,C6279,task-product-packing,GX024893.MP4,
Standard Engineering,27-04-26,C7997,task-cnc-machine-operation,GX010897.MP4,
Standard Engineering,27-04-26,C7997,task-cnc-machine-operation,GX020897.MP4,
Standard Engineering,27-04-26,C7997,task-cnc-machine-operation,GX030897.MP4,
Standard Engineering,27-04-26,C7997,task-metal-grinding,GX010899.MP4,
Standard Engineering,27-04-26,C7997,task-metal-grinding,GX020899.MP4,
Standard Engineering,27-04-26,C7997,task-metal-grinding,GX030899.MP4,
Standard Engineering,27-04-26,C7997,task-oil-seal-pressing,GX010898.MP4,
Standard Engineering,27-04-26,C7997,task-oil-seal-pressing,GX020898.MP4,
Standard Engineering,27-04-26,C7997,task-oil-seal-pressing,GX030898.MP4,
Standard Engineering,27-04-26,C7997,task-oil-seal-pressing,GX040898.MP4,
Standard Engineering,27-04-26,C8090,task-leak-testing,GX010039.MP4,
Standard Engineering,27-04-26,C8090,task-leak-testing,GX020039.MP4,
Standard Engineering,27-04-26,C8090,task-product-packing,GX010038.MP4,
