archive,date,camera,task,footage,timestamps
Tasks,18-05-26,C2920,task-car-ac-compressor-fitting,GX014863.MP4,
Tasks,18-05-26,C2920,task-car-body-gas-welding,GX014864.MP4,
Tasks,18-05-26,C2920,task-car-body-sanding,GX014861.MP4,
Tasks,18-05-26,C2920,task-car-body-sanding,GX014862.MP4,
Tasks,18-05-26,C2920,task-flywheel-lathe-operation,GX014865.MP4,
Tasks,18-05-26,C2920,task-wheel-changing,GX014860.MP4,
Tasks,18-05-26,C6279,task-car-body-sanding,GX014891.MP4,
Tasks,18-05-26,C6279,task-car-body-waxing,GX014890.MP4,
Tasks,18-05-26,C6279,task-lathe-machine-operation,GX014889.MP4,
Tasks,18-05-26,C6279,task-lathe-machine-operation,GX024889.MP4,
