archive,date,camera,task,footage,timestamps
Tasks,02-06-26,C4696,task-milling-machine-operation,GX012398.MP4,
Tasks,02-06-26,C4696,task-milling-machine-operation,GX012399.MP4,
Tasks,02-06-26,C4696,task-milling-machine-operation,GX012400.MP4,
Tasks,02-06-26,C8090,task-metal-hole-cleaning,GX010040.MP4,
Tasks,02-06-26,C8090,task-metal-hole-cleaning,GX020040.MP4,
Tasks,05-05-26,C4696,task-flower-bouqet-making,GX012362.MP4,
Tasks,05-05-26,C4696,task-salad-making,GX012361.MP4,
Tasks,05-05-26,C4696,task-water-filteration-bottle-filling,GX012360.MP4,
Tasks,05-05-26,C4696,task-water-filteration-bottle-filling,GX022360.MP4,
Tasks,07-05-26,C4696,task-tyre-mounting,GX012368.MP4,
Tasks,07-05-26,C4696,task-wheel-changing,GX012369.MP4,
Tasks,09-05-26,C2920,task-glass-edge-grinding,GX014853.MP4,
Tasks,09-05-26,C2920,task-metal-buffing,GX014852.MP4,
Tasks,11-05-26,C5223,task-cv-joint-repair,GX014849.MP4,
Tasks,11-05-26,C5223,task-cv-joint-repair,GX014850.MP4,
Tasks,11-05-26,C5223,task-gear-liver-assembly,GX014851.MP4,
Tasks,11-05-26,C6279,task-axle-shaft-cutting,GX014870.MP4,
Tasks,12-05-26,C5223,task-shoveling,GX014852.MP4,
Tasks,12-05-26,C5223,task-shoveling,GX014853.MP4,
Tasks,12-05-26,C5223,task-shoveling,GX014854.MP4,
Tasks,12-05-26,C6279,task-block-making,GX014881.MP4,
Tasks,13-05-26,C2920,task-gear-box-fitting,GX014854.MP4,
Tasks,13-05-26,C2920,task-gear-box-fitting,GX014855.MP4,
Tasks,13-05-26,C2920,task-mobile-repairing,GX014856.MP4,
Tasks,18-05-26,C2920,task-car-ac-compressor-fitting,GX014863.MP4,
Tasks,18-05-26,C2920,task-car-body-gas-welding,GX014864.MP4,
Tasks,18-05-26,C2920,task-car-body-sanding,GX014861.MP4,
Tasks,18-05-26,C2920,task-car-body-sanding,GX014862.MP4,
Tasks,18-05-26,C2920,task-flywheel-lathe-operation,GX014865.MP4,
Tasks,18-05-26,C2920,task-wheel-changing,GX014860.MP4,
Tasks,18-05-26,C6279,task-car-body-sanding,GX014891.MP4,
Tasks,18-05-26,C6279,task-car-body-waxing,GX014890.MP4,
Tasks,18-05-26,C6279,task-lathe-machine-operation,GX014889.MP4,
Tasks,18-05-26,C6279,task-lathe-machine-operation,GX024889.MP4,
Tasks,19-05-26,task-plaster-ceiling-tile,,GX014866.MP4,
Tasks,19-05-26,task-plaster-ceiling-tile,,GX014892.MP4,
Tasks,21-05-26,C4696,task-plastic-grinding,GX012396.MP4,
Tasks,21-05-26,C4696,task-shoveling,GX012395.MP4,
Tasks,21-05-26,C5006,task-plastic-moulding-machine-operation,GX011402.MP4,
Tasks,21-05-26,C5006,task-plastic-moulding-machine-operation,GX011403.MP4,
Tasks,21-05-26,C5006,task-plastic-moulding-machine-operation,GX021402.MP4,
Tasks,21-05-26,C5006,task-plastic-moulding-machine-operation,GX021403.MP4,
Tasks,21-05-26,C5006,task-plastic-moulding-machine-operation,GX031402.MP4,
Tasks,21-05-26,C5006,task-plastic-moulding-machine-operation,GX041402.MP4,
Tasks,21-05-26,C5223,task-plastic-moulding-machine-operation,GX014882.MP4,
Tasks,21-05-26,C8278,task-plastic-grinding,GX012217.MP4,
