archive,date,camera,task,footage,timestamps
YT,22-04-26,C1312,task-cutting-machine,GX010079.MP4,
YT,22-04-26,C1312,task-cutting-machine,GX020079.MP4,
YT,22-04-26,C1312,task-cutting-machine,GX030079.MP4,
YT,22-04-26,C1312,task-folding-pair,GX010078.MP4,
YT,22-04-26,C1312,task-folding-pair,GX020078.MP4,
YT,22-04-26,C1312,task-folding-pair,GX030078.MP4,
YT,22-04-26,C1312,task-folding-pair,GX040078.MP4,
YT,22-04-26,C1312,task-folding-pair,GX050078.MP4,
YT,22-04-26,C1312,task-folding-pair,GX060078.MP4,
YT,22-04-26,C1312,task-folding-pair,GX070078.MP4,
YT,22-04-26,C1312,task-loop-attachment,GX010076.MP4,
YT,22-04-26,C1312,task-loop-attachment,GX020076.MP4,
YT,22-04-26,C1312,task-loop-attachment,GX030076.MP4,
YT,22-04-26,C1312,task-loop-attachment,GX040076.MP4,
YT,22-04-26,C1312,task-loop-attachment,GX050076.MP4,
YT,22-04-26,C1312,task-loop-attachment,GX060076.MP4,
YT,22-04-26,C1312,task-loop-prepration,GX040077.MP4,
YT,22-04-26,C1312,task-loop-prepration,GX050077.MP4,
YT,22-04-26,C1312,task-loop-prepration,GX060077.MP4,
YT,22-04-26,C1312,task-loop-prepration,GX070077.MP4,
YT,22-04-26,C1312,task-stitching,GX010077.MP4,
YT,22-04-26,C1312,task-stitching,GX020077.MP4,
YT,22-04-26,C1312,task-stitching,GX030077.MP4,
YT,22-04-26,C1627,task-bartacking,GX010078.MP4,
YT,22-04-26,C1627,task-bartacking,GX020078.MP4,
YT,22-04-26,C1627,task-bartacking,GX030078.MP4,
YT,22-04-26,C1627,task-loop-prepration,GX010077.MP4,
YT,22-04-26,C1627,task-loop-prepration,GX020077.MP4,
YT,22-04-26,C1627,task-stitching,GX010076.MP4,
YT,22-04-26,C1627,task-stitching,GX020076.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX012645.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX012646.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX022645.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX022646.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX032645.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX032646.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX042645.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX042646.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX052645.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX052646.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX062645.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX062646.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX072645.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX072646.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX082645.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX082646.MP4,
YT,22-04-26,C2196,task-binding-pre-fold,GX092645.MP4,
YT,22-04-26,C2244,task-bartacking,GX020897.MP4,
YT,22-04-26,C2244,task-bartacking,GX040897.MP4,
YT,22-04-26,C2244,task-bartacking,GX050897.MP4,
YT,22-04-26,C2244,task-bartacking,GX060897.MP4,
YT,22-04-26,C2244,task-bartacking,GX070897.MP4,
YT,22-04-26,C2244,task-folding-cardboard-insert,GX030899.MP4,
YT,22-04-26,C2244,task-folding-cardboard-insert,GX040899.MP4,
YT,22-04-26,C2244,task-folding-cardboard-insert,GX050899.MP4,
YT,22-04-26,C2244,task-folding-cardboard-insert,GX060899.MP4,
YT,22-04-26,C2244,task-folding-cardboard-insert,GX070899.MP4,
