archive,date,camera,task,footage,timestamps
YT,21-04-26,C0498,task-checking,GX010069_1.mp4,
YT,21-04-26,C0498,task-checking,GX010070.MP4,
YT,21-04-26,C0498,task-checking,GX020070.MP4,
YT,21-04-26,C0498,task-checking,GX030070.MP4,
YT,21-04-26,C0498,task-edge-hemming,GX010069.MP4,
YT,21-04-26,C0498,task-edge-hemming,GX020069.MP4,
YT,21-04-26,C0498,task-edge-hemming,GX030069.MP4,
YT,21-04-26,C0498,task-label-attachment,GX010068.MP4,
YT,21-04-26,C0498,task-label-attachment,GX020068.MP4,
YT,21-04-26,C0498,task-label-attachment,GX030068.MP4,
YT,21-04-26,C0656,task-back-attachment,GX010322.MP4,
YT,21-04-26,C0656,task-back-attachment,GX020322.MP4,
YT,21-04-26,C0656,task-back-attachment,GX030322.MP4,
YT,21-04-26,C0656,task-loop-attachment,GX020321.MP4,
YT,21-04-26,C0656,task-loop-attachment,GX030321.MP4,
YT,21-04-26,C0656,task-loop-attachment,GX040321.MP4,
YT,21-04-26,C0656,task-loop-attachment,GX050321.MP4,
YT,21-04-26,C0656,task-loop-attachment,GX060321.MP4,
YT,21-04-26,C0656,task-loop-attachment,GX070321.MP4,
YT,21-04-26,C0656,task-overlock-attachment,GX010321.MP4,
YT,21-04-26,C1312,task-binding-pre-fold,GX030075.MP4,
YT,21-04-26,C1312,task-binding-pre-fold,GX040075.MP4,
YT,21-04-26,C1312,task-binding-pre-fold,GX050075.MP4,
YT,21-04-26,C1312,task-binding-pre-fold,GX060075.MP4,
YT,21-04-26,C1312,task-binding-pre-fold,GX070075.MP4,
YT,21-04-26,C1312,task-edge-hemming,GX010074.MP4,
YT,21-04-26,C1312,task-edge-hemming,GX020074.MP4,
YT,21-04-26,C1312,task-edge-hemming,GX030074.MP4,
YT,21-04-26,C1312,task-edge-hemming,GX040074.MP4,
YT,21-04-26,C1312,task-edge-hemming,GX050074.MP4,
YT,21-04-26,C1312,task-edge-hemming,GX070074.MP4,
YT,21-04-26,C1312,task-edge-hemming,GX080074.MP4,
YT,21-04-26,C1312,task-loop-cutting,GX030073.MP4,
YT,21-04-26,C1312,task-loop-cutting,GX040073.MP4,
YT,21-04-26,C1312,task-loop-cutting,GX050073.MP4,
YT,21-04-26,C1312,task-loop-cutting,GX070073.MP4,
YT,21-04-26,C1312,task-overlock,GX010075.MP4,
YT,21-04-26,C1312,task-zip-cutting,GX010073.MP4,
YT,21-04-26,C1312,task-zip-cutting,GX020073.MP4,
YT,21-04-26,C1312,task-zip-cutting,GX060073.MP4,
