archive,date,camera,task,footage,timestamps
Multinet,14-05-26,C4696,,GX012382.MP4,
Multinet,14-05-26,C4696,,GX012383.MP4,
Multinet,14-05-26,C4696,,GX012385.MP4,
Multinet,14-05-26,C5006,,GX011384.MP4,
Multinet,14-05-26,C5006,,GX011385.MP4,
Multinet,14-05-26,C5006,,GX021384.MP4,
Multinet,14-05-26,C5006,,GX021385.MP4,
Multinet,14-05-26,C5006,,GX031384.MP4,
Multinet,14-05-26,C5006,,GX031385.MP4,
Multinet,14-05-26,C5006,,GX041384.MP4,
Multinet,14-05-26,C5006,,GX051384.MP4,
Multinet,14-05-26,C5223,,GX014862.MP4,
Multinet,14-05-26,C5223,,GX014863.MP4,
Multinet,14-05-26,C5223,,GX014864.MP4,
Multinet,14-05-26,C5223,,GX014865.MP4,
Multinet,14-05-26,C5223,,GX024862.MP4,
Multinet,14-05-26,C5223,,GX024863.MP4,
Multinet,14-05-26,C5223,,GX024864.MP4,
Multinet,14-05-26,C5223,,GX024865.MP4,
Multinet,14-05-26,C5223,,GX034862.MP4,
Multinet,14-05-26,C5223,,GX034863.MP4,
Multinet,14-05-26,C5223,,GX034864.MP4,
Multinet,14-05-26,C5223,,GX034865.MP4,
Multinet,14-05-26,C5223,,GX044862.MP4,
Multinet,14-05-26,C5223,,GX044863.MP4,
Multinet,14-05-26,C5223,,GX054862.MP4,
Multinet,14-05-26,C5223,,GX054863.MP4,
Multinet,14-05-26,C6180,,GX010316.MP4,
Multinet,14-05-26,C6180,,GX010317.MP4,
Multinet,14-05-26,C6279,,GX014883.MP4,
Multinet,14-05-26,C6279,,GX014884.MP4,
Multinet,14-05-26,C6279,,GX014885.MP4,
Multinet,14-05-26,C6279,,GX014886.MP4,
Multinet,14-05-26,C6279,,GX014887.MP4,
Multinet,14-05-26,C6279,,GX024885.MP4,
Multinet,14-05-26,C8278,,GX012203.MP4,
Multinet,14-05-26,C8278,,GX012204.MP4,
Multinet,15-05-26,C2920,,GX014858.MP4,
Multinet,15-05-26,C2920,,GX014859.MP4,
Multinet,15-05-26,C4696,,GX012386.MP4,
Multinet,15-05-26,C4696,,GX012387.MP4,
Multinet,15-05-26,C4696,,GX012388.MP4,
Multinet,15-05-26,C4696,,GX012389.MP4,
Multinet,15-05-26,C5006,,GX011386.MP4,
Multinet,15-05-26,C5006,,GX011387.MP4,
Multinet,15-05-26,C5006,,GX011388.MP4,
Multinet,15-05-26,C5006,,GX011389.MP4,
Multinet,15-05-26,C5006,,GX011390.MP4,
Multinet,15-05-26,C5006,,GX011397.MP4,
Multinet,15-05-26,C5006,,GX021386.MP4,
Multinet,15-05-26,C5006,,GX021387.MP4,
Multinet,15-05-26,C5006,,GX021388.MP4,
Multinet,15-05-26,C5006,,GX021389.MP4,
Multinet,15-05-26,C5006,,GX031387.MP4,
Multinet,15-05-26,C5006,,GX031388.MP4,
Multinet,15-05-26,C5006,,GX031389.MP4,
Multinet,15-05-26,C5006,,GX041388.MP4,
Multinet,15-05-26,C5006,,GX041389.MP4,
Multinet,15-05-26,C5006,,GX051388.MP4,
Multinet,15-05-26,C5006,,GX051389.MP4,
Multinet,15-05-26,C6279,,GX014888.MP4,
Multinet,15-05-26,C6279,,GX024888.MP4,
Multinet,15-05-26,C8278,,GX012206.MP4,
Multinet,15-05-26,C8278,,GX012207.MP4,
Multinet,15-05-26,C8278,,GX012208.MP4,
Multinet,16-05-26,C4696,,GX012390.MP4,
Multinet,16-05-26,C4696,,GX012391.MP4,
Multinet,16-05-26,C4696,,GX012392.MP4,
Multinet,16-05-26,C4696,,GX022392.MP4,
Multinet,16-05-26,C5006,,GX011391.MP4,
Multinet,16-05-26,C5006,,GX021391.MP4,
Multinet,16-05-26,C5006,,GX031391.MP4,
Multinet,16-05-26,C5006,,GX041391.MP4,
Multinet,16-05-26,C5223,,GX014872.MP4,
Multinet,16-05-26,C5223,,GX014873.MP4,
Multinet,16-05-26,C5223,,GX014874.MP4,
Multinet,16-05-26,C5223,,GX024872.MP4,
Multinet,16-05-26,C6180,,GX010321.MP4,
Multinet,16-05-26,C6180,,GX020321.MP4,
Multinet,16-05-26,C6180,,GX030321.MP4,
Multinet,16-05-26,C8278,,GX012209.MP4,
Multinet,16-05-26,C8278,,GX012210.MP4,
Multinet,16-05-26,C8278,,GX012211.MP4,
Multinet,16-05-26,C8278,,GX012212.MP4,
Multinet,16-05-26,C8278,,GX022209.MP4,
Multinet,16-05-26,C8278,,GX022212.MP4,
Multinet,18-05-26,C4696,,GX012393.MP4,
Multinet,18-05-26,C4696,,GX022393.MP4,
Multinet,18-05-26,C5006,,GX011393.MP4,
Multinet,18-05-26,C5006,,GX011395.MP4,
Multinet,18-05-26,C5006,,GX021393.MP4,
