archive,date,camera,task,footage,timestamps
YT,23-04-26,C4696,,GX012347.MP4,"0 - 21.03, 22.42 - 48.10"
YT,23-04-26,C4696,,GX012348.MP4,0 - 44.04
YT,23-04-26,C4696,,GX022347.MP4,"2.12 - 6.33, 8.36 - 11.06"
YT,23-04-26,C4961,,GX014837.MP4,0.12 - 11.49
YT,23-04-26,C4961,,GX074837.MP4,0 - 3.08
YT,23-04-26,C4993,,GX020945.MP4,0 - 10.45
YT,23-04-26,C4993,,GX020947.MP4,"1.43 - 3.47, 10.20 - 22.01"
YT,23-04-26,C4993,,GX030951.MP4,0 - 4.09
YT,23-04-26,C5006,,GX011364.MP4,0 - 8.16
YT,23-04-26,C5006,,GX011366.MP4,0 - 7.14
YT,23-04-26,C5223,,GX034832.MP4,"0 - 4.55, 9.33 - 11.50"
YT,23-04-26,C5223,,GX074832.MP4,0 - 3.49
YT,23-04-26,C5523,,GX010614.MP4,0 - 7.34
YT,23-04-26,C5523,,GX020610.MP4,7.08 - 11.49
YT,23-04-26,C5523,,GX040609.MP4,0 - 10.53
YT,23-04-26,C5523,,GX040610.MP4,5.23 - 11.49
YT,23-04-26,C5523,,GX050609.MP4,4.44 - 10.59
YT,23-04-26,C5523,,GX060611.MP4,0 - 6.44
YT,23-04-26,C5523,,GX070610.MP4,0 - 4.05
YT,23-04-26,C5670,,GX040042.MP4,0 - 10.44
YT,23-04-26,C5670,,GX050042.MP4,11.42 - 13.39
YT,23-04-26,C5670,,GX050043.MP4,0 - 2.44
YT,23-04-26,C5670,,GX060042.MP4,0 - 13.33
YT,23-04-26,C6180,,GX010295.MP4,0 - 11.57
YT,23-04-26,C6273,,GX010113.MP4,9.34 - 34.14
YT,23-04-26,C6273,,GX020114.MP4,9.35 - 23.15
YT,23-04-26,C6273,,GX020115.MP4,"1.19 - 6.04, 14.04 - 16.11"
YT,23-04-26,C6279,,GX014835.MP4,"00.30 - 4.43, 6.46 - 35.14"
YT,23-04-26,C6279,,GX014836.MP4,0 - 32.02
YT,23-04-26,C6279,,GX014837.MP4,"2.24 - 4.59, 7.47 - 12.01, 29.32 - 35.14"
YT,23-04-26,C6279,,GX024835.MP4,0 - 7.09
YT,23-04-26,C6279,,GX024836.MP4,"3.32 - 8.00, 13.09 - 35.14"
YT,23-04-26,C6279,,GX024837.MP4,"5.23 - 8.20, 10.07 - 13.53"
YT,23-04-26,C6279,,GX024838.MP4,7.01 - 35.14
YT,23-04-26,C7783,,GX070073.MP4,0 - 7.09
YT,23-04-26,C7997,,GX010888.MP4,6.07 - 18.16
YT,23-04-26,C7997,,GX030888.MP4,10.04 - 17.39
YT,23-04-26,C7997,,GX050888.MP4,0 - 2.48
YT,23-04-26,C8090,,GX010031.MP4,6.14 - 35.14
YT,23-04-26,C8278,,GX012183.MP4,"0 - 15.00, 22.18 - 34.40"
YT,23-04-26,C8278,,GX012184.MP4,1.51 - 35.14
YT,23-04-26,C8278,,GX022182.MP4,0 - 5.04
YT,23-04-26,C8278,,GX022183.MP4,"0 - 6.52, 9.09 - 23.52, 25.14 - 35.14"
YT,23-04-26,C9225,,GX012071.MP4,0 - 10.04
YT,23-04-26,C9225,,GX022072.MP4,0 - 10.37
YT,23-04-26,C9225,,GX032067.MP4,0 - 10.39
YT,23-04-26,C9225,,GX032070.MP4,0 - 9.11
YT,23-04-26,C9225,,GX032072.MP4,1.00 - 6.20
YT,23-04-26,C9225,,GX042067.MP4,6.49 - 11.51
YT,23-04-26,C9225,,GX042072.MP4,0 - 8.18
YT,23-04-26,C9225,,GX082067.MP4,"0 - 6.46, 10.30 - 11.51"
YT,23-04-26,C9225,,GX092067.MP4,0 - 2.29
