date,camera,task,footage,timestamps
24-04-26,C0656,,GX010328.MP4,"0:00 - 15:11, 16:35 - 17:39"
24-04-26,C0656,,GX010329.MP4,
24-04-26,C0656,,GX020328.MP4,
24-04-26,C0656,,GX020329.MP4,"4:35 - 16:44, 16:55 - 17:39"
24-04-26,C0656,,GX030328.MP4,"01:03 - 04:50, 5:25 - 06:04, 07:00 - 08:41, 09:55 - 12:31, 13:25 - 14:52, 16:28 - 17:39"
24-04-26,C0656,,GX030329.MP4,"00:00 - 04:31, 06:07- 08:26, 10:57 - 11:15"
24-04-26,C0656,,GX040328.MP4,"02:06 - 03:45, 04:22 -  06:20, 07:08 - 07:44, 08:48 - 11:40,12:10 - 12:50"
24-04-26,C1312,,GX010085.MP4,"00:00 - 03:11, 03:25 - 09:40, 10:12 - 11:50"
24-04-26,C1312,,GX020085.MP4, 
24-04-26,C1312,,GX030085.MP4,"00:00 - 09:40, 10:09 - 11:50"
24-04-26,C1312,,GX040085.MP4,
24-04-26,C1328,,GH012350.MP4,"00:18 - 10:31, 10:55 - 16:02"
24-04-26,C1328,,GH022350.MP4,"00:00 - 09:16, 10:11 - 11:45, 13:04 - 16:02"
24-04-26,C1328,,GH032350.MP4,"00:00 - 04:00, 09:28 - 14:07"
24-04-26,C1328,,GH042350.MP4,
24-04-26,C1627,,GX010084.MP4,00:00 - 33:54
24-04-26,C1627,,GX010085.MP4,00:21 - 35:14
24-04-26,C1627,,GX020084.MP4,
24-04-26,C1627,,GX020085.MP4,
24-04-26,C2202,,GX010295.MP4,
24-04-26,C2202,,GX010296.MP4,"00:00 - 16:38, 17:02 - 17:26, 18:26 - 36:53"
24-04-26,C2202,,GX020295.MP4,00:00 - 14:10
24-04-26,C2244,,GX010905.MP4,"00:00 - 06:32, 07:52 - 09:05"
24-04-26,C2244,,GX010906.MP4,"00:00 - 06:31, 09:27 - 11:48"
24-04-26,C2244,,GX020905.MP4,"04:45 - 06:40, 07:01 - 11:47"
24-04-26,C2244,,GX020906.MP4,00:00 - 10:57
24-04-26,C2244,,GX030905.MP4,"00:10 - 08:28, 09:00 - 10:38, 11:30 - 11:48"
24-04-26,C2244,,GX030906.MP4,04:36 - 11:48
24-04-26,C2244,,GX040905.MP4,"00:00 - 03:50, 04:11 - 04:49, 05:20 - 06:01, 06:29 - 07:14, 07:45 - 10:30, 11:27 - 11:48"
24-04-26,C2244,,GX040906.MP4,
24-04-26,C2244,,GX050905.MP4,"00:43 - 05:27, 11:27 - 11:48"
24-04-26,C2244,,GX050906.MP4,
24-04-26,C2244,,GX060905.MP4,
24-04-26,C2978,,GX010083.MP4,
24-04-26,C2978,,GX010084.MP4,
24-04-26,C2978,,GX020083.MP4,
24-04-26,C2978,,GX020084.MP4,"00:00 - 03:40, 05:14 - 06:03, 07:11 - 09:31"
24-04-26,C2978,,GX030083.MP4,
24-04-26,C2978,,GX030084.MP4,"02:21 - 03:04, 06:40 - 07:23"
24-04-26,C3836,,GOPR1938.MP4,"00:00 - 02:33, 03:20 - 11:49"
24-04-26,C3836,,GOPR1939.MP4,
24-04-26,C3836,,GP011938.MP4,
24-04-26,C3836,,GP011939.MP4,
24-04-26,C3836,,GP021938.MP4,00:00 - 10:34
24-04-26,C3836,,GP021939.MP4,
24-04-26,C3836,,GP031939.MP4,
24-04-26,C4031,,GX014293.MP4,00:43 - 09:26
24-04-26,C4031,,GX024293.MP4,03:20 - 10:12
24-04-26,C4031,,GX034293.MP4,01:38 -11:51
24-04-26,C4031,,GX044293.MP4,
24-04-26,C4031,,GX054293.MP4,"00:00 - 03:26, 09:55 - 11:52"
24-04-26,C4031,,GX064293.MP4,
24-04-26,C4696,,GX012351.MP4,
24-04-26,C4696,,GX012352.MP4,"00:00 - 10:53, 11:31 - 50:11"
24-04-26,C4696,,GX012353.MP4,
24-04-26,C4696,,GX012354.MP4,"00:00 - 16:39, 17:00 - 49:33"
24-04-26,C4696,,GX022352.MP4,
24-04-26,C4961,,GX014838.MP4,00:20 - 11:48
24-04-26,C4961,,GX024838.MP4,
24-04-26,C4961,,GX034838.MP4,"00:00 - 07:39, 08:00 - 11:49"
24-04-26,C4961,,GX044838.MP4,00:00 - 11:06
24-04-26,C4961,,GX054838.MP4,00:00 - 10:00
24-04-26,C4961,,GX064838.MP4,
24-04-26,C5006,,GX011367.MP4,
24-04-26,C5006,,GX011368.MP4,"00:00 - 03:06, 04:40 - 05:48, 07:02 - 08:58"
24-04-26,C5006,,GX021367.MP4,01:15 - 08:53
24-04-26,C5006,,GX021368.MP4,"00:32 - 02:04, 03:28 - 04:20, 04:57 - 08:53"
24-04-26,C5006,,GX031367.MP4,"00:00 - 02:57, 05:10 - 08:53"
24-04-26,C5006,,GX031368.MP4,00:00 - 01:39
24-04-26,C5006,,GX041367.MP4,
24-04-26,C5006,,GX041368.MP4,00:00 - 01:38
24-04-26,C5006,,GX051367.MP4,
24-04-26,C5006,,GX061367.MP4,"00:00 - 03:29, 03:44 - 03:52, 04:15 - 07:36, 07:52 - 08:54"
24-04-26,C5006,,GX071367.MP4,
24-04-26,C5223,,GX014835.MP4,
24-04-26,C5223,,GX014836.MP4,
24-04-26,C5223,,GX024835.MP4,"00:00 - 02:19, 06:03 - 11:26"
24-04-26,C5223,,GX024836.MP4,
24-04-26,C5223,,GX034835.MP4,03:10 - 11:51
24-04-26,C5223,,GX034836.MP4,"00:00 - 08:51, 10:17 - 11:51"
24-04-26,C5223,,GX044835.MP4,
24-04-26,C5223,,GX044836.MP4,
24-04-26,C5223,,GX054835.MP4,
24-04-26,C5223,,GX064835.MP4,
24-04-26,C5223,,GX074835.MP4,
24-04-26,C6180,,GX010296.MP4,"00:00 - 02:21, 07:07 - 35:14"
24-04-26,C6180,,GX010297.MP4,
